Function,Method,n,Approximation,Error,Time (s)
exp(-x^2),Gaussian,890,0.7368244661357631,2.6645352591003757e-15,0.00020694732666015625
exp(-x^2),Trapezoidal,1000,0.7368244076759888,5.845977169016692e-08,0.00023508071899414062
exp(-x^2),Simpson,1000,0.7368244661357677,7.216449660063518e-15,0.00026869773864746094
exp(-x^2),Gaussian,1000,0.7368244661357726,1.2101430968414206e-14,0.0001418590545654297
sqrt(x),Trapezoidal,10,0.6631507394253586,0.002849260574625867,0.0003082752227783203
sqrt(x),Simpson,10,0.6653469421984818,0.00065305780150271,0.0001819133758544922
sqrt(x),Gaussian,10,0.666011758073936,1.1758073951484427e-05,0.00013518333435058594
sqrt(x),Trapezoidal,120,0.6659746922834158,2.5307716568723215e-05,0.004620790481567383
sqrt(x),Simpson,120,0.6659993500165232,6.499834612760935e-07,0.003299236297607422
sqrt(x),Gaussian,120,0.6660000000000006,1.609823385706477e-14,9.72747802734375e-05
sqrt(x),Trapezoidal,230,0.6659930694749099,6.930525074611005e-06,0.00034308433532714844
sqrt(x),Simpson,230,0.6659999384412044,6.155878007341187e-08,0.0002598762512207031
sqrt(x),Gaussian,230,0.6659999999999993,1.4765966227514582e-14,0.0012781620025634766
sqrt(x),Trapezoidal,340,0.6659968242907491,3.1757092353590366e-06,0.000652313232421875
sqrt(x),Simpson,340,0.6659999861332185,1.3866765957715188e-08,0.0004901885986328125
sqrt(x),Gaussian,340,0.6660000000000061,2.1649348980190553e-14,0.0001068115234375
sqrt(x),Trapezoidal,450,0.665998186208117,1.8137918674776543e-06,0.00045228004455566406
sqrt(x),Simpson,450,0.6659999953403356,4.6596488889605325e-09,0.00032329559326171875
sqrt(x),Gaussian,450,0.6660000000000034,1.887379141862766e-14,7.677078247070312e-05
sqrt(x),Trapezoidal,560,0.6659988285108953,1.1714890891800778e-06,0.00028514862060546875
sqrt(x),Simpson,560,0.6659999980266454,1.9733390477227886e-09,0.00019216537475585938
sqrt(x),Gaussian,560,0.6660000000000105,2.5979218776228663e-14,0.00024700164794921875
sqrt(x),Trapezoidal,670,0.6659991814957699,8.185042146280352e-07,0.00038743019104003906
sqrt(x),Simpson,670,0.6659999990283176,9.716668580850296e-10,0.0006918907165527344
sqrt(x),Gaussian,670,0.6659999999999939,9.43689570931383e-15,7.462501525878906e-05
sqrt(x),Trapezoidal,780,0.6659993960296838,6.039703006610608e-07,0.0001957416534423828
sqrt(x),Simpson,780,0.6659999994680691,5.3191540061448e-10,0.00014162063598632812
sqrt(x),Gaussian,780,0.6659999999999918,7.327471962526033e-15,0.0003871917724609375
sqrt(x),Trapezoidal,890,0.6659995360756221,4.639243623705269e-07,0.0002868175506591797
sqrt(x),Simpson,890,0.6659999996850271,3.1495739349907126e-10,0.00018548965454101562
sqrt(x),Gaussian,890,0.666000000000005,2.0539125955565396e-14,0.00010728836059570312
sqrt(x),Trapezoidal,1000,0.6659996325124289,3.6748755560811475e-07,0.00035858154296875
sqrt(x),Simpson,1000,0.6659999998018712,1.981133035400262e-10,0.00025177001953125
sqrt(x),Gaussian,1000,0.6660000000000239,3.941291737419306e-14,0.00011038780212402344
1/(1 + x^2),Trapezoidal,10,0.7750064861422119,0.00039201056857129934,0.0002224445343017578
1/(1 + x^2),Simpson,10,0.7753983545984031,1.4211238008599025e-07,0.00014400482177734375
1/(1 + x^2),Gaussian,10,0.7753984967108354,5.218048215738236e-14,8.487701416015625e-05
1/(1 + x^2),Trapezoidal,120,0.7753957741896426,2.7225211406411987e-06,0.00010037422180175781
1/(1 + x^2),Simpson,120,0.7753984967046047,6.178502154341459e-12,0.00021696090698242188
1/(1 + x^2),Gaussian,120,0.7753984967107831,1.1102230246251565e-16,7.963180541992188e-05
1/(1 + x^2),Trapezoidal,230,0.7753977556083144,7.411024688375178e-07,0.000255584716796875
1/(1 + x^2),Simpson,230,0.7753984967103255,4.57744953052952e-13,0.00013113021850585938
1/(1 + x^2),Gaussian,230,0.7753984967107828,4.440892098500626e-16,8.034706115722656e-05
1/(1 + x^2),Trapezoidal,340,0.7753981575730333,3.391377498829229e-07,0.0001068115234375
1/(1 + x^2),Simpson,340,0.7753984967106872,9.603429163007604e-14,0.00012135505676269531
1/(1 + x^2),Gaussian,340,0.7753984967107848,1.5543122344752192e-15,7.677078247070312e-05
1/(1 + x^2),Trapezoidal,450,0.7753983031091778,1.9360160541381788e-07,9.584426879882812e-05
1/(1 + x^2),Simpson,450,0.7753984967107518,3.141931159689193e-14,0.00012230873107910156
1/(1 + x^2),Gaussian,450,0.775398496710784,7.771561172376096e-16,8.392333984375e-05
1/(1 + x^2),Trapezoidal,560,0.7753983716969896,1.250137936503748e-07,0.0003261566162109375
1/(1 + x^2),Simpson,560,0.7753984967107699,1.3322676295501878e-14,0.00042057037353515625
1/(1 + x^2),Gaussian,560,0.775398496710786,2.7755575615628914e-15,0.00011205673217773438
1/(1 + x^2),Trapezoidal,670,0.7753984093765751,8.733420808759718e-08,0.00035691261291503906
1/(1 + x^2),Simpson,670,0.7753984967107767,6.5503158452884236e-15,0.00020623207092285156
1/(1 + x^2),Gaussian,670,0.7753984967107813,1.887379141862766e-15,0.00010895729064941406
1/(1 + x^2),Trapezoidal,780,0.7753984322723773,6.443840594450023e-08,0.000759124755859375
1/(1 + x^2),Simpson,780,0.7753984967107795,3.6637359812630166e-15,0.00023937225341796875
1/(1 + x^2),Gaussian,780,0.7753984967107809,2.3314683517128287e-15,0.00016736984252929688
1/(1 + x^2),Trapezoidal,890,0.7753984472166204,4.94941627682266e-08,0.00025463104248046875
1/(1 + x^2),Simpson,890,0.7753984967107811,2.1094237467877974e-15,0.0002949237823486328
1/(1 + x^2),Gaussian,890,0.7753984967107845,1.3322676295501878e-15,0.00020313262939453125
1/(1 + x^2),Trapezoidal,1000,0.7753984575064568,3.9204326451880434e-08,0.000202178955078125
1/(1 + x^2),Simpson,1000,0.7753984967107818,1.4432899320127035e-15,0.003140687942504883
1/(1 + x^2),Gaussian,1000,0.7753984967107896,6.439293542825908e-15,0.0031027793884277344
|x|,Trapezoidal,10,0.49995,0.0,0.0006029605865478516
|x|,Simpson,10,0.4999500000000001,1.1102230246251565e-16,0.000148773193359375
|x|,Gaussian,10,0.49995,0.0,0.0001277923583984375
|x|,Trapezoidal,120,0.49995000000000017,1.6653345369377348e-16,0.00017571449279785156
|x|,Simpson,120,0.49995000000000006,5.551115123125783e-17,0.00017213821411132812
|x|,Gaussian,120,0.4999499999999999,1.1102230246251565e-16,8.916854858398438e-05
|x|,Trapezoidal,230,0.49995000000000006,5.551115123125783e-17,0.00022125244140625
|x|,Simpson,230,0.49994999999999995,5.551115123125783e-17,0.00018978118896484375
|x|,Gaussian,230,0.4999500000000001,1.1102230246251565e-16,9.107589721679688e-05
|x|,Trapezoidal,340,0.49994999999999995,5.551115123125783e-17,0.0005717277526855469
|x|,Simpson,340,0.49995000000000006,5.551115123125783e-17,0.0002205371856689453
|x|,Gaussian,340,0.49995,0.0,0.0003533363342285156
|x|,Trapezoidal,450,0.49995,0.0,0.00020122528076171875
|x|,Simpson,450,0.49995000000000006,5.551115123125783e-17,0.00018787384033203125
|x|,Gaussian,450,0.49995,0.0,0.00014519691467285156
|x|,Trapezoidal,560,0.49995,0.0,0.0001964569091796875
|x|,Simpson,560,0.49995000000000006,5.551115123125783e-17,0.0001761913299560547
|x|,Gaussian,560,0.49995,0.0,0.00042629241943359375
|x|,Trapezoidal,670,0.49995,0.0,0.00017499923706054688
|x|,Simpson,670,0.49994999999999995,5.551115123125783e-17,0.0001697540283203125
|x|,Gaussian,670,0.4999499999999999,1.1102230246251565e-16,0.00010514259338378906
|x|,Trapezoidal,780,0.4999500000000001,1.1102230246251565e-16,0.00018215179443359375
|x|,Simpson,780,0.49995000000000006,5.551115123125783e-17,0.00013327598571777344
|x|,Gaussian,780,0.49995,0.0,0.00010275840759277344
|x|,Trapezoidal,890,0.49995,0.0,0.00013518333435058594
|x|,Simpson,890,0.49995000000000006,5.551115123125783e-17,0.00012874603271484375
|x|,Gaussian,890,0.4999500000000001,1.1102230246251565e-16,0.00027942657470703125
|x|,Trapezoidal,1000,0.49995,0.0,0.0001659393310546875
|x|,Simpson,1000,0.49994999999999995,5.551115123125783e-17,0.00033736228942871094
|x|,Gaussian,1000,0.4999499999999999,1.1102230246251565e-16,0.00011515617370605469
ln(x),Trapezoidal,10,-0.9935830426716014,0.049634744531481645,0.0002694129943847656
ln(x),Simpson,10,-0.9618412674167997,0.017892969276679938,0.0004582405090332031
ln(x),Gaussian,10,-0.9434542398253554,0.0004940583147643451,0.00013017654418945312
ln(x),Trapezoidal,120,-0.9444987227895412,0.0005504246494214549,0.00021958351135253906
ln(x),Simpson,120,-0.9439791722643921,3.087412427238423e-05,0.00020456314086914062
ln(x),Gaussian,120,-0.9439482981401146,5.10702591327572e-15,0.00031113624572753906
ln(x),Trapezoidal,230,-0.9441002405588134,0.00015194241869365133,0.00026679039001464844
ln(x),Simpson,230,-0.943951423858372,3.1257182523392046e-06,0.00021910667419433594
ln(x),Gaussian,230,-0.9439482981401289,9.2148511043888e-15,0.0001125335693359375
ln(x),Trapezoidal,340,-0.9440180496094315,6.97514693117629e-05,0.0004887580871582031
ln(x),Simpson,340,-0.9439490183617134,7.202215936974454e-07,0.0003559589385986328
ln(x),Gaussian,340,-0.943948298140051,6.872280522429719e-14,0.00010514259338378906
ln(x),Trapezoidal,450,-0.9439881639382713,3.986579815162816e-05,0.00016260147094726562
ln(x),Simpson,450,-0.9439485426252698,2.444851501248735e-07,0.0001685619354248047
ln(x),Gaussian,450,-0.943948298140083,3.674838211509268e-14,8.726119995117188e-05
ln(x),Trapezoidal,560,-0.9439740551254463,2.575698532658599e-05,0.00014066696166992188
ln(x),Simpson,560,-0.9439484022329219,1.0409280215561978e-07,0.00021719932556152344
ln(x),Gaussian,560,-0.9439482981400048,1.149080830487037e-13,0.00033783912658691406
ln(x),Trapezoidal,670,-0.9439662975104948,1.7999370375054724e-05,0.0002288818359375
ln(x),Simpson,670,-0.9439483495559006,5.14157808551019e-08,0.0002510547637939453
ln(x),Gaussian,670,-0.9439482981401862,6.650235917504688e-14,0.00012350082397460938
ln(x),Trapezoidal,780,-0.9439615812748164,1.3283134696728816e-05,0.00043702125549316406
ln(x),Simpson,780,-0.9439483263424379,2.8202318147485528e-08,0.0004558563232421875
ln(x),Gaussian,780,-0.9439482981402069,8.715250743307479e-14,0.0001823902130126953
ln(x),Trapezoidal,890,-0.9439585019882891,1.0203848169410001e-05,0.00023984909057617188
ln(x),Simpson,890,-0.943948314861704,1.6721584339407514e-08,0.004069328308105469
ln(x),Gaussian,890,-0.9439482981400628,5.695444116327053e-14,0.00013136863708496094
ln(x),Trapezoidal,1000,-0.9439563813042172,8.083164097505424e-06,0.001806020736694336
ln(x),Simpson,1000,-0.9439483086683316,1.0528211857874226e-08,0.0003113746643066406
ln(x),Gaussian,1000,-0.9439482981398577,2.6201263381153694e-13,0.0003204345703125
